emp_no,first_name,last_name,gender,salary,dept_no
10001,Georgi,Facello,M,60117,d005
10004,Chirstian,Koblick,M,40054,d004
10009,Sumant,Peac,F,60929,d006
10018,Kazuhide,Peha,F,55881,d004
10035,Alain,Chappelet,M,41538,d004
10053,Sanjiv,Zschoche,F,67854,d007
10058,Berhard,McFarlin,M,52787,d001
10066,Kwee,Schusler,M,69736,d005
10067,Claudi,Stavenow,M,44642,d006
10070,Reuven,Garigliano,M,55999,d008
10072,Hironoby,Sidou,F,40000,d005
10076,Erez,Ritzmann,F,47319,d005
10088,Jungsoon,Syrzycki,F,65957,d009
10100,Hironobu,Haraldson,F,54398,d003
10103,Akemi,Birch,M,68158,d005
10126,Kayoko,Valtorta,M,40000,d009
10129,Armond,Peir,M,40000,d005
10130,Nishit,Casperson,M,40000,d004
10134,Diederik,Siprelle,M,40000,d004
10138,Perry,Shimshoni,M,53574,d006
10150,Zhenbing,Perng,F,70122,d005
10153,Heekeun,Majewski,M,54246,d005
10157,Nigel,Aloisi,M,48770,d005
10198,Pranav,Furedi,M,44076,d005
10215,Xiaobin,Duclos,M,43944,d007
10224,Leon,Trogemann,M,40000,d004
10233,Lein,Vendrig,F,40000,d003
10258,Basil,Ishibashi,F,66280,d005
10272,Yishai,Cannane,M,58070,d002
10282,Hercules,Benzmuller,M,40000,d004
10283,Kauko,Birjandi,M,40000,d005
10326,Masali,Czap,F,40000,d008
10340,Djelloul,Laventhal,M,68132,d001
10347,Pradeep,Kaminger,M,42199,d008
10355,Satyanarayana,Cochrane,M,70434,d007
10356,Vasilis,Standera,M,45376,d008
10364,Nakhoon,Dengi,M,51401,d004
10372,Anneli,Frijda,F,54505,d004
10387,Parto,Wrigley,F,61374,d009
10396,Sibyl,Rahier,M,40393,d005
10402,Volkmar,Ebeling,M,40000,d006
10404,Prodip,Rosti,F,51647,d005
10426,Arunas,Luce,F,65757,d005
10429,Martien,Improta,F,40000,d005
10432,Hisao,Tiemann,F,40000,d009
10451,Bodh,Ranta,F,46275,d004
10453,Tsvetan,Matzel,F,40000,d009
10463,Ung,Zaiane,M,66480,d007
10486,Amstein,Kossowski,F,71692,d006
10494,Yakkov,Servieres,F,50094,d004
10504,Xiong,Varker,M,43931,d007
10512,Udi,Gihr,M,40000,d003
10522,Marke,Cesareni,F,40000,d003
10548,Ramalingam,Gunderson,M,90631,d001
10564,Jianhao,Thisen,M,46660,d004
10623,Aleksander,Danlos,F,60268,d008
10628,Krisda,Krogh,M,41650,d005
10631,Inderjeet,Chaudhuri,M,40000,d005
10642,Hirochika,Narlikar,M,40000,d005
10653,Otmar,Feinberg,M,40000,d005
10671,Parviz,Rebaine,M,74037,d003
10676,Valeri,Danley,F,58226,d005
10693,Berhard,Daescu,F,40000,d009
10702,Bader,Szemeredi,M,46581,d005
10718,Adib,Rullman,M,75473,d005
10726,Zita,Minakawa,F,46315,d005
10734,Sachar,Erdi,M,47377,d004
10745,Poorav,Ranze,F,40000,d004
10749,King,Brendel,M,60829,d004
10767,Monique,Doering,F,40651,d007
10768,Ishfaq,Candan,M,65717,d004
10778,Selwyn,Merey,M,64996,d001
10791,Tadahiko,Sgarro,M,40000,d005
10795,Supot,Naudin,M,84206,d007
10808,Chenxi,Leijenhorst,M,40000,d005
10835,Tomoyuki,Kermarrec,M,40000,d004
10836,Jianhua,Leivant,F,65502,d009
10844,Dipayan,Koprowski,M,40000,d005
10847,Theirry,Danley,M,40000,d008
10848,Fen,Bratsberg,F,50475,d004
10878,Lakshmi,Deville,M,72102,d007
10879,Muzhong,Chleq,F,65651,d005
10883,Shimshon,Champarnaud,M,40000,d004
10909,Georgi,Atchley,M,80935,d005
10921,Mara,Bahi,F,72601,d004
10924,Hironoby,Atchley,F,84783,d007
10927,Gal,Scallan,M,51819,d001
10936,Mountaz,Schicker,F,40000,d003
10943,Berna,Skafidas,M,45890,d005
10965,Eckart,Braunschweig,M,61654,d007
10969,Premal,Noriega,M,40000,d005
10974,Muneo,Papsdorf,M,56005,d005
10986,Masako,Schiper,M,43900,d005
10988,Chinya,Deyuan,M,54174,d005
10989,Sumali,Candan,F,46406,d002
10990,Shin,Foote,M,40000,d005
11009,Alper,Axelband,F,75111,d007
11012,Taegyun,Speckmann,F,72092,d009
11019,Leon,Huttel,M,69387,d005
11021,Srinidhi,Henders,F,62670,d008
11027,Remzi,Cappello,M,40000,d004
11031,Ottavia,Walstra,M,71654,d001
11037,Lansing,Maliniak,M,40000,d004
11038,Jinya,Beidas,M,44993,d008
11042,Gou,Breugel,F,40000,d005
11048,Jaques,Demke,M,65697,d007
11050,Elvis,Katiyar,M,52251,d001
11051,Przemyslawa,Erol,F,40000,d004
11070,Adib,Raney,M,40000,d006
11081,Barry,Boyle,M,65686,d002
11085,Hailing,Thummel,M,66437,d004
11100,Berna,Cochrane,M,40000,d008
11106,Aris,Iwayama,F,71446,d005
11112,Boaz,Mukaidono,M,40000,d009
11113,Shahab,Peng,F,66401,d001
11121,Vugranam,Kakkad,F,40000,d005
11133,Nalini,Azulay,M,40000,d006
11134,Sachar,Rajcani,F,58731,d006
11137,Hugh,Luca,M,40000,d005
11139,Bogdan,Homond,F,63596,d009
11146,Ishfaq,Masand,F,96019,d007
11148,Zhanqiu,Botman,F,56344,d003
11162,Kauko,Narlikar,F,69873,d005
11180,Mitsuyuki,Bojadziev,F,40000,d005
11197,Tadahiro,Fordan,M,88741,d007
11204,Diederik,Covnot,M,40000,d004
11207,Saeed,Gips,F,49728,d005
11208,Saniya,Valtorta,F,83660,d004
11211,Yurij,Rissland,M,72668,d004
11217,Kellie,Mawatari,M,40000,d004
11232,Hidefumi,Crelier,M,43863,d009
11240,Kiam,Condotta,M,61739,d005
11249,Randi,Cyre,M,43324,d005
11251,Bezalel,Chinal,M,69432,d001
11268,Aimee,Petersohn,F,40000,d004
11275,Hitomi,Eppinger,F,58382,d005
11290,Visit,Dredge,M,65034,d005
11295,Abdelkader,Lanzelotte,M,66622,d002
11319,Pranas,Marrakchi,F,40000,d005
11320,Atilio,McAlpine,M,45118,d001
11322,Nathalie,Pocchiola,F,43021,d006
11324,Kauko,Billingsley,F,54288,d004
11338,Kwangsub,Hanratty,M,82210,d007
11339,Flemming,Massonet,M,40000,d004
11347,Anneli,Jonsson,M,41524,d005
11365,Toshimi,Shinomoto,M,56463,d004
11376,Valery,Suomi,M,46964,d008
11380,Kenroku,Pelc,M,53345,d005
11385,Shiv,Ullian,M,40000,d004
11386,Alselm,Assaf,F,47726,d006
11393,Junsik,Junot,M,40000,d004
11398,Oscar,Peir,M,44625,d002
11404,Bedrich,Borovoy,M,42907,d005
11415,Sanjiv,Anido,M,40000,d004
11421,Josyula,Msuda,F,52416,d004
11441,Marlo,Aingworth,M,67352,d007
11449,Kotesh,Asser,M,61434,d004
11459,Duke,Suomi,M,40000,d003
11469,Guttorm,Giaccio,M,44625,d004
11506,Rance,Picel,F,89747,d007
11509,Aleksander,Feldhoffer,M,40000,d005
11513,Otmar,Mahnke,M,82525,d002
11515,Ulf,Basawa,F,70182,d007
11518,Jinxi,Oxman,M,40000,d003
11524,Xiadong,Standera,M,41081,d005
11527,Alagu,Boyle,M,60212,d001
11528,Zito,Dolinsky,M,44026,d004
11537,DAIDA,Pehl,M,96023,d007
11554,Subhash,Taubenfeld,M,46065,d001
11555,Kotesh,Perfilyeva,M,40000,d003
11567,Teiji,Mitzlaff,M,86261,d007
11568,Martins,Fujisaki,M,54673,d005
11603,Herb,Swen,F,69180,d002
11607,Tomokazu,Foong,F,49584,d004
11615,Shem,Isaak,F,46591,d007
11624,Adil,Gammage,M,42001,d004
11628,Fan,Malinowski,M,43966,d008
11640,Valeri,Coorg,M,52520,d005
11647,Magy,Nitsche,M,40000,d005
11660,Gill,Stenning,F,65758,d007
11673,Henk,Felder,F,40000,d004
11676,Valeri,Ferriere,F,43310,d004
11681,Fumitake,Benzmuller,F,40000,d004
11684,Oksana,Gide,F,68753,d001
11696,Dante,Rothe,M,51633,d007
11732,Sanjoy,Ranft,F,40000,d009
11735,Amalendu,Picci,M,40000,d009
11746,Koichi,Marrakchi,F,55951,d007
11751,Jiafu,Emiris,M,40000,d008
11764,Sanjay,Anick,F,64875,d004
11769,Chandrasekaran,Lampe,M,40000,d005
11772,Gaurav,Penz,F,61295,d005
11797,Chenxi,Thambidurai,M,88050,d001
11810,Amabile,Bhattacharjee,M,41256,d005
11817,Niranjan,Markovitch,M,50638,d007
11832,Arto,Zlotek,M,40000,d005
11844,Shawna,Demeyer,M,78049,d005
11853,Zeljko,Kusakabe,F,61941,d001
11857,Divier,Farrag,F,94805,d007
11864,Pradeep,Kriebel,F,52517,d009
11871,Nalini,Sommen,M,67424,d005
11872,Cheong,Riexinger,M,43159,d001
11894,Mitchel,Validov,M,56198,d005
11897,Cordelia,Setlzner,M,80049,d007
11906,Hideo,Boguraev,F,81324,d005
11915,Miomir,Mawatari,M,58042,d004
11931,Gunilla,Chiodo,F,73369,d008
11933,Basil,Erman,M,56130,d005
11949,Martijn,Harbusch,M,40000,d004
11983,Jaana,Hedayat,M,40000,d005
11993,Marit,Dalphin,M,56505,d003
12011,Zhilian,Coorg,F,85833,d007
12036,Mads,Ratzlaff,M,67143,d007
12037,Arunas,Katzenelson,M,47805,d009
12050,Yuchang,Tchuente,F,46704,d004
12062,Margareta,Worfolk,M,44199,d003
12069,Ayonca,Burnard,M,51928,d005
12070,Ger,Shokrollahi,M,50233,d005
12076,Karlis,Siprelle,F,75381,d007
12082,Xinan,Yamaashi,M,72118,d007
12089,Bilhanan,Socorro,M,46288,d003
12099,Nobuyoshi,Kuzuoka,M,104610,d007
12112,Satyanarayana,Avouris,M,76538,d002
12122,Satoru,Krone,F,46398,d004
12123,Xiahua,Syrzycki,F,64879,d008
12125,Shounak,Erman,F,41215,d004
12149,Suebskul,Grandbois,M,109934,d007
12159,Shem,Perly,M,61210,d005
12165,Xiaobin,Maquelin,F,41951,d005
12183,Harngdar,Iisaku,M,40000,d006
12192,Feiyu,Klyachko,F,41625,d006
12205,Sushant,Rossi,M,40000,d005
12206,Barton,Janetzko,F,40000,d005
12218,Yaghout,Strooper,M,40000,d006
12221,Vincent,Melter,M,56736,d005
12222,Abdelwaheb,Holburn,F,55840,d002
